FID,Código de Región,Nombre de Región,Código de Provincia,Nombre de Provincia,Código de Comuna,Nombre de Comuna,Nombre de Urbano,Tipo de Urbano,Categoría de Entidad,Total de Personas,Total Hombres,Total Mujeres,Total de Viviendas,Shape__Area,Shape__Length,x,y
1,13,METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,PAINE,CAPITAL COMUNAL,CIUDAD,31317,15451,15866,9621,7914833.68554688,17793.6464594534,,
2,13,METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,HOSPITAL,URBANO,CIUDAD,6122,3034,3088,1926,6642026.16992188,17333.6633017697,,
3,13,METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,ALTO JAHUEL,URBANO,CIUDAD,7000,3451,3549,2112,2882953.38671875,13715.5110187614,,
4,13,METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,BUIN,CAPITAL COMUNAL,CIUDAD,65607,31858,33749,21723,24983118.7519531,44558.2369212157,,
5,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13103,CERRO NAVIA,CERRO NAVIA,CAPITAL COMUNAL,CIUDAD,132401,65297,67104,37963,15975128.0058594,19974.2488812564,,
6,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13124,PUDAHUEL,PUDAHUEL,CAPITAL COMUNAL,CIUDAD,205558,100122,105436,62142,23043728.5878906,22509.3350218541,,
7,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13124,PUDAHUEL,CIUDAD DEL VALLE,URBANO,CIUDAD,11512,5657,5855,3573,3808065.46484375,15308.4400542064,,
8,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13301,COLINA,COLINA,CAPITAL PROVINCIAL,CIUDAD,88858,46598,42260,26529,24769589.2519531,36765.6820260805,,
9,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13301,COLINA,CHICUREO,URBANO,CIUDAD,10975,5172,5803,2913,10173076.0273438,31006.300437731,,
10,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13301,COLINA,CHAMISERO,URBANO,CIUDAD,7747,3636,4111,2492,5475329.7578125,21358.0731783652,,
11,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13303,TILTIL,TILTIL,CAPITAL COMUNAL,CIUDAD,5549,2760,2789,1810,3686420.84765625,14851.1672118802,,
12,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13302,LAMPA,BATUCO,URBANO,CIUDAD,16784,8524,8260,5037,5244725.08007813,17947.7799929929,,
13,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13302,LAMPA,LAMPA,CAPITAL COMUNAL,CIUDAD,37599,18705,18894,11703,10344238.3378906,15068.3645809795,,
14,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13302,LAMPA,VALLE GRANDE,URBANO,CIUDAD,16966,8452,8514,6502,12983811.4726563,16344.3781949328,,
15,13,METROPOLITANA DE SANTIAGO,133,CHACABUCO,13302,LAMPA,CHICAUMA,URBANO,CIUDAD,1764,894,870,601,1928233.91601563,5875.40954640534,,
16,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,HUECHURABA,CAPITAL COMUNAL,CIUDAD,98500,48019,50481,28905,31584302.5097656,37558.9449179445,,
17,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13104,CONCHALÍ,CONCHALÍ,CAPITAL COMUNAL,CIUDAD,126800,61784,65016,37721,15979605.7636719,16815.7932456967,,
18,13,METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,CURACAVÍ,CURACAVÍ,CAPITAL COMUNAL,CIUDAD,18686,9085,9601,6176,6357348.02929688,20102.033486475,,
19,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13105,EL BOSQUE,EL BOSQUE,CAPITAL COMUNAL,CIUDAD,162415,79325,83090,47912,20688079.6796875,18631.6663064153,,
20,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13106,ESTACIÓN CENTRAL,ESTACIÓN CENTRAL,CAPITAL COMUNAL,CIUDAD,140809,69617,71192,52413,20682566.5742188,22689.2277528928,,
21,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13121,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,CAPITAL COMUNAL,CIUDAD,101035,49423,51612,29874,12625146.1855469,15651.7187741286,,
22,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13108,INDEPENDENCIA,INDEPENDENCIA,CAPITAL COMUNAL,CIUDAD,100059,49025,51034,36610,10587218.65625,13798.3868807634,,
23,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13603,ISLA DE MAIPO,ISLA DE MAIPO,CAPITAL COMUNAL,CIUDAD,14176,6982,7194,4767,12211898.296875,29279.6222762382,,
24,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13603,ISLA DE MAIPO,LA ISLITA,URBANO,CIUDAD,11431,5641,5790,3394,2445732.64453125,10208.2379657652,,
25,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13116,LO ESPEJO,LO ESPEJO,CAPITAL COMUNAL,CIUDAD,98651,49046,49605,26744,11886614.078125,13762.0738147799,,
26,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13109,LA CISTERNA,LA CISTERNA,CAPITAL COMUNAL,CIUDAD,89889,43043,46846,31395,14401733.5878906,15356.4219188965,,
27,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13112,LA PINTANA,LA PINTANA,CAPITAL COMUNAL,CIUDAD,176105,86377,89728,49655,44005772.2929688,31961.0275052385,,
28,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13110,LA FLORIDA,LA FLORIDA,CAPITAL COMUNAL,CIUDAD,366376,175380,190996,119864,61168417.8769531,41594.43119705,,
29,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13111,LA GRANJA,LA GRANJA,CAPITAL COMUNAL,CIUDAD,116312,56875,59437,34343,14562829.5097656,16986.3558275582,,
30,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13118,MACUL,MACUL,CAPITAL COMUNAL,CIUDAD,116249,55021,61228,42998,18517268.5742188,18417.8115523526,,
31,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13122,PEÑALOLÉN,PEÑALOLÉN,CAPITAL COMUNAL,CIUDAD,241394,116769,124625,70322,50633179.8847656,33687.9792680286,,
32,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13114,LAS CONDES,LAS CONDES,CAPITAL COMUNAL,CIUDAD,294480,135721,158759,117878,65119785.3945313,44926.4298066473,,
33,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,LO BARNECHEA,CAPITAL COMUNAL,CIUDAD,103092,48337,54755,29001,71158680.84375,65749.6157733153,,
34,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13113,LA REINA,LA REINA,CAPITAL COMUNAL,CIUDAD,92678,43535,49143,29771,29435445.5546875,27336.4873580076,,
35,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13120,ÑUÑOA,ÑUÑOA,CAPITAL COMUNAL,CIUDAD,208048,95304,112744,92179,24288323.8398438,21382.6384095952,,
36,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13127,RECOLETA,RECOLETA,CAPITAL COMUNAL,CIUDAD,157569,77510,80059,50136,22715640.5214844,22324.0748533992,,
37,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13123,PROVIDENCIA,PROVIDENCIA,CAPITAL COMUNAL,CIUDAD,141986,65652,76334,70926,20727385.1289063,19429.1994760686,,
38,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13102,CERRILLOS,CERRILLOS,CAPITAL COMUNAL,CIUDAD,80710,39544,41166,24523,24198337.7246094,25227.769493539,,
39,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13119,MAIPÚ,MAIPÚ,CAPITAL COMUNAL,CIUDAD,515240,247329,267911,159551,82585166.0742188,43950.0415037596,,
40,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13117,LO PRADO,LO PRADO,CAPITAL COMUNAL,CIUDAD,95901,46607,49294,29417,9448923.28515625,12856.5022997543,,
41,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13132,VITACURA,VITACURA,CAPITAL COMUNAL,CIUDAD,85300,38355,46945,31753,40872314.1191406,31136.2473881021,,
42,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13126,QUINTA NORMAL,QUINTA NORMAL,CAPITAL COMUNAL,CIUDAD,109784,53520,56264,38914,17014139.1914063,21243.7968263416,,
43,13,METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,BOLLENAR,URBANO,CIUDAD,5308,2667,2641,1686,5636521.75390625,16178.9229837512,,
44,13,METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,MELIPILLA,CAPITAL PROVINCIAL,CIUDAD,72212,34990,37222,24853,19400332.4921875,26947.1412957975,,
45,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13605,PEÑAFLOR,PEÑAFLOR,CAPITAL COMUNAL,CIUDAD,82959,40316,42643,26327,18790395.4453125,30959.6134504618,,
46,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13604,PADRE HURTADO,PADRE HURTADO,CAPITAL COMUNAL,CIUDAD,55561,27451,28110,18378,18734024.2304688,21108.1129734233,,
47,13,METROPOLITANA DE SANTIAGO,132,CORDILLERA,13201,PUENTE ALTO,PUENTE ALTO,CAPITAL PROVINCIAL,CIUDAD,566561,274323,292238,171077,109645972.558594,57401.3571341493,,
48,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13125,QUILICURA,QULICURA,CAPITAL COMUNAL,CIUDAD,209676,103013,106663,62228,59645027.4960938,42122.8450742737,,
49,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13128,RENCA,RENCA,CAPITAL COMUNAL,CIUDAD,146987,72586,74401,43128,34181427.8144531,34681.9392143173,,
50,13,METROPOLITANA DE SANTIAGO,134,MAIPO,13403,CALERA DE TANGO,BAJOS DE SAN AGUSTÍN,URBANO,CIUDAD,7802,3856,3946,2377,2285485.03125,9343.2859695817,,
51,13,METROPOLITANA DE SANTIAGO,134,MAIPO,13401,SAN BERNARDO,SAN BERNARDO,CAPITAL PROVINCIAL,CIUDAD,290912,142513,148399,87046,79860726.5,53080.73467276,,
52,13,METROPOLITANA DE SANTIAGO,132,CORDILLERA,13203,SAN JOSÉ DE MAIPO,SAN JOSÉ DE MAIPO,CAPITAL COMUNAL,CIUDAD,6230,3121,3109,2036,3488282.83398438,10882.7808837848,,
53,13,METROPOLITANA DE SANTIAGO,132,CORDILLERA,13203,SAN JOSÉ DE MAIPO,LA OBRA - LAS VERTIENTES,URBANO,CIUDAD,3032,1509,1523,1169,4734254.82226563,17995.7105391395,,
54,13,METROPOLITANA DE SANTIAGO,132,CORDILLERA,13202,PIRQUE,PIRQUE,CAPITAL COMUNAL,CIUDAD,2685,1321,1364,820,3559229.78320313,22013.9521102631,,
55,13,METROPOLITANA DE SANTIAGO,132,CORDILLERA,13202,PIRQUE,EL PRINCIPAL,URBANO,CIUDAD,8829,4491,4338,2668,9405229.83984375,31402.924668813,,
56,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13129,SAN JOAQUÍN,SAN JOAQUÍN,CAPITAL COMUNAL,CIUDAD,94325,45738,48587,30054,14337674.6113281,16946.382563709,,
57,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13130,SAN MIGUEL,SAN MIGUEL,CAPITAL COMUNAL,CIUDAD,107828,50659,57169,42892,13863805.6289063,16029.8039055443,,
58,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13131,SAN RAMÓN,SAN RAMÓN,CAPITAL COMUNAL,CIUDAD,82602,40710,41892,23743,9061336.203125,14097.960666905,,
59,13,METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,CAPITAL REGIONAL,CIUDAD,402847,205583,197264,193215,33329909.5644531,29265.433413499,,
60,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13602,EL MONTE,EL MONTE,CAPITAL COMUNAL,CIUDAD,29998,14751,15247,9760,18807547.4335938,28217.1609282472,,
61,13,METROPOLITANA DE SANTIAGO,136,TALAGANTE,13601,TALAGANTE,TALAGANTE,CAPITAL PROVINCIAL,CIUDAD,56878,28063,28815,17723,15004221.6269531,23840.5041816351,,
62,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6310,SANTA CRUZ,SANTA CRUZ,CAPITAL COMUNAL,CIUDAD,22681,10938,11743,8349,9949508.8359375,20321.8048857625,,
63,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6302,CHÉPICA,CHÉPICA,CAPITAL COMUNAL,CIUDAD,6146,3010,3136,2246,5620178.41210938,20799.83357017,,
64,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6104,COLTAUCO,DOÑIHUE,URBANO,CIUDAD,48,21,27,25,138179.732421875,2262.10046852214,,
65,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6117,SAN VICENTE,SAN VICENTE DE TAGUA TAGUA,CAPITAL COMUNAL,CIUDAD,20827,10039,10788,7371,10293789.078125,25216.250003433,,
66,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6104,COLTAUCO,COLTAUCO,CAPITAL COMUNAL,CIUDAD,5461,2636,2825,2134,11086935.7148438,22038.9912735036,,
67,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6105,DOÑIHUE,LO MIRANDA,URBANO,CIUDAD,9000,4463,4537,3201,8303230.56640625,17364.1293313106,,
68,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6105,DOÑIHUE,DOÑIHUE,CAPITAL COMUNAL,CIUDAD,7401,3593,3808,2723,6274790.9609375,22689.2111639067,,
69,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6111,OLIVAR,GULTRO,URBANO,CIUDAD,5423,2736,2687,1785,6267021.72070313,13169.3389745446,,
70,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6116,REQUÍNOA,LOS LIRIOS,URBANO,CIUDAD,4569,2293,2276,1452,6028583.27734375,16365.4265151439,,
71,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6116,REQUÍNOA,REQUÍNOA,CAPITAL COMUNAL,CIUDAD,10539,5191,5348,3389,3611470.74609375,16406.6915771633,,
72,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6115,RENGO,RENGO,CAPITAL COMUNAL,CIUDAD,37721,18071,19650,13295,13101351.859375,25160.5965448842,,
73,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6114,QUINTA DE TILCOCO,QUINTA DE TILCOCO,CAPITAL COMUNAL,CIUDAD,7223,3545,3678,2582,8239529.37695313,29787.6776920091,,
74,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6110,MOSTAZAL,SAN FRANCISCO DE MOSTAZAL,URBANO,CIUDAD,12719,6283,6436,4261,7135991.55273438,19408.7081028134,,
75,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6110,MOSTAZAL,LA PUNTA,URBANO,CIUDAD,6990,3502,3488,2491,8054819.58203125,17752.5191658175,,
76,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6106,GRANEROS,GRANEROS,CAPITAL COMUNAL,CIUDAD,28679,14120,14559,9790,6530777.296875,15491.450486085,,
77,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6102,CODEGUA,CODEGUA,CAPITAL COMUNAL,CIUDAD,6659,3258,3401,2246,5459241.8671875,18373.5585205429,,
78,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6201,PICHILEMU,PICHILEMU,CAPITAL PROVINCIAL,CIUDAD,12776,6334,6442,9249,14809071.734375,23999.17208654,,
79,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6307,PERALILLO,PERALILLO,CAPITAL COMUNAL,CIUDAD,5304,2622,2682,1983,5247025.14648438,16406.0680352714,,
80,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6112,PEUMO,PUNTA DE DIAMANTE,URBANO,CIUDAD,306,155,151,111,920921.171875,4631.56663651564,,
81,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6112,PEUMO,PEUMO,CAPITAL COMUNAL,CIUDAD,8522,4242,4280,2974,5407072.90820313,18128.8971157229,,
82,6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6113,PICHIDEGUA,PICHIDEGUA,CAPITAL COMUNAL,CIUDAD,5604,2821,2783,1956,5186797.8046875,21370.4641496648,,
