FID,Código de Región,Nombre de Región,Código de Provincia,Nombre de Provincia,Código de Comuna,Nombre de Comuna,Nombre de Urbano,Tipo de Urbano,Categoría de Entidad,Total de Personas,Total Hombres,Total Mujeres,Total de Viviendas,Shape__Area,Shape__Length,x,y
176,5,DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5706,SANTA MARÍA,VILLA LOS ALMENDROS,URBANO,CIUDAD,423,215,208,131,190738.7734375,2020.55537194315,,
177,5,DE VALPARAÍSO,55,QUILLOTA,5504,LA CRUZ,LA CRUZ,CAPITAL COMUNAL,CIUDAD,19408,9305,10103,7062,13262674.296875,26921.8413810379,,
178,5,DE VALPARAÍSO,55,QUILLOTA,5501,QUILLOTA,QUILLOTA,CAPITAL PROVINCIAL,CIUDAD,73261,34536,38725,27291,21614288.7949219,22261.1953653381,,
179,5,DE VALPARAÍSO,58,MARGA MARGA,5804,VILLA ALEMANA,VILLA ALEMANA,CAPITAL COMUNAL,CIUDAD,125140,59009,66131,44401,40714632.8496094,31794.3506277055,,
180,5,DE VALPARAÍSO,58,MARGA MARGA,5801,QUILPUÉ,QUILPUÉ,CAPITAL COMUNAL,CIUDAD,147991,69816,78175,54845,56397460.4121094,53494.3908536884,,
181,5,DE VALPARAÍSO,53,LOS ANDES,5303,RINCONADA,RINCONADA,CAPITAL COMUNAL,CIUDAD,8036,4006,4030,2791,8037732.0546875,24564.7447906229,,
182,5,DE VALPARAÍSO,53,LOS ANDES,5302,CALLE LARGA,CALLE LARGA,CAPITAL COMUNAL,CIUDAD,9653,4667,4986,3570,7172761.40820313,29698.2099075622,,
183,5,DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5701,SAN FELIPE,SAN FELIPE,CAPITAL PROVINCIAL,CIUDAD,64120,30770,33350,23202,21914464.5996094,30359.5261392141,,
184,5,DE VALPARAÍSO,57,SAN FELIPE DE ACONCAGUA,5702,CATEMU,CATEMU,CAPITAL COMUNAL,CIUDAD,7772,3816,3956,2641,6453538.62109375,20752.1917869743,,
185,5,DE VALPARAÍSO,56,SAN ANTONIO,5606,SANTO DOMINGO,SANTO DOMINGO,CAPITAL COMUNAL,CIUDAD,6147,2926,3221,4361,12560106.3847656,19567.0172440856,,
186,5,DE VALPARAÍSO,56,SAN ANTONIO,5601,SAN ANTONIO,SAN ANTONIO,CAPITAL PROVINCIAL,CIUDAD,86239,41995,44244,29943,32249357.0078125,56734.2602070688,,
187,5,DE VALPARAÍSO,51,VALPARAÍSO,5101,VALPARAÍSO,VALPARAÍSO,CAPITAL REGIONAL,CIUDAD,251177,122482,128695,97191,68442720.5566406,52141.8418463638,,
188,5,DE VALPARAÍSO,51,VALPARAÍSO,5101,VALPARAÍSO,PLACILLA DE PEÑUELAS,URBANO,CIUDAD,39344,18912,20432,13640,22302943.9550781,29114.2388869223,,
189,5,DE VALPARAÍSO,51,VALPARAÍSO,5102,CASABLANCA,CASABLANCA,CAPITAL COMUNAL,CIUDAD,17948,8676,9272,6232,12176745.9414063,21430.0213728578,,
190,4,DE COQUIMBO,43,LIMARÍ,4302,COMBARBALÁ,COMBARBALÁ,CAPITAL COMUNAL,CIUDAD,5915,2805,3110,2604,4566594.39257813,11897.340150631,,
191,4,DE COQUIMBO,43,LIMARÍ,4304,PUNITAQUI,PUNITAQUI,CAPITAL COMUNAL,CIUDAD,5700,2695,3005,2366,6694066.22851563,16880.7235079884,,
192,4,DE COQUIMBO,41,ELQUI,4103,ANDACOLLO,ANDACOLLO,CAPITAL COMUNAL,CIUDAD,9989,4967,5022,3801,5805494.65820313,17526.3662355362,,
193,4,DE COQUIMBO,41,ELQUI,4102,COQUIMBO,TONGOY,URBANO,CIUDAD,5552,2909,2643,2600,5266413.54492188,15632.455785539,,
194,4,DE COQUIMBO,41,ELQUI,4102,COQUIMBO,COQUIMBO,CAPITAL PROVINCIAL,CIUDAD,204068,97714,106354,76337,71242437.5722656,85514.6279313779,,
195,4,DE COQUIMBO,42,CHOAPA,4201,ILLAPEL,ILLAPEL,CAPITAL PROVINCIAL,CIUDAD,20751,9610,11141,7750,9105500.18164063,21851.9507141762,,
196,4,DE COQUIMBO,41,ELQUI,4101,LA SERENA,LA SERENA,CAPITAL REGIONAL,CIUDAD,195382,92063,103319,76998,71623486.359375,59020.7001435042,,
197,4,DE COQUIMBO,42,CHOAPA,4204,SALAMANCA,SALAMANCA,CAPITAL COMUNAL,CIUDAD,13520,6754,6766,4750,8213831.74609375,17404.4542426366,,
198,4,DE COQUIMBO,42,CHOAPA,4203,LOS VILOS,LOS VILOS,CAPITAL COMUNAL,CIUDAD,13816,6971,6845,6792,7269463.97265625,19241.8222124204,,
199,4,DE COQUIMBO,43,LIMARÍ,4303,MONTE PATRIA,MONTE PATRIA,CAPITAL COMUNAL,CIUDAD,6533,3216,3317,2407,4864450.35351563,18297.6375020121,,
200,4,DE COQUIMBO,43,LIMARÍ,4303,MONTE PATRIA,EL PALQUI,URBANO,CIUDAD,6175,2963,3212,2094,4906837.953125,10946.837426803,,
201,4,DE COQUIMBO,43,LIMARÍ,4301,OVALLE,OVALLE,CAPITAL PROVINCIAL,CIUDAD,75864,35548,40316,26819,20143623.1835938,27849.3413821735,,
202,4,DE COQUIMBO,41,ELQUI,4106,VICUÑA,VICUÑA,CAPITAL COMUNAL,CIUDAD,15872,7636,8236,5836,7441019.33007813,20135.843345204,,
203,14,DE LOS RÍOS,142,RANCO,14204,RÍO BUENO,RÍO BUENO,CAPITAL COMUNAL,CIUDAD,16909,7950,8959,6623,10172681.234375,16257.1726269569,,
204,14,DE LOS RÍOS,142,RANCO,14201,LA UNIÓN,LA UNIÓN,CAPITAL PROVINCIAL,CIUDAD,26517,12554,13963,9911,19168969.5234375,30337.0142348991,,
205,14,DE LOS RÍOS,142,RANCO,14202,FUTRONO,FUTRONO,CAPITAL COMUNAL,CIUDAD,7095,3398,3697,2845,8262091.67578125,22290.662167465,,
206,14,DE LOS RÍOS,141,VALDIVIA,14104,LOS LAGOS,LOS LAGOS,CAPITAL COMUNAL,CIUDAD,9746,4689,5057,3480,7116110.12109375,19920.38230791,,
207,14,DE LOS RÍOS,141,VALDIVIA,14103,LANCO,LANCO,CAPITAL COMUNAL,CIUDAD,8521,4144,4377,3136,4759743.765625,11421.3280425295,,
208,14,DE LOS RÍOS,141,VALDIVIA,14106,MARIQUINA,SAN JOSÉ DE LA MARIQUINA,CAPITAL COMUNAL,CIUDAD,9767,4682,5085,3353,5320044.51953125,13423.4223840751,,
209,14,DE LOS RÍOS,141,VALDIVIA,14107,PAILLACO,PAILLACO,CAPITAL COMUNAL,CIUDAD,11296,5555,5741,3983,5657359.23046875,12450.4094275354,,
210,14,DE LOS RÍOS,141,VALDIVIA,14108,PANGUIPULLI,PANGUIPULLI,CAPITAL COMUNAL,CIUDAD,11091,5196,5895,4381,8840640.93359375,19594.4357279814,,
211,14,DE LOS RÍOS,141,VALDIVIA,14101,VALDIVIA,VALDIVIA,CAPITAL REGIONAL,CIUDAD,150048,71906,78142,53867,77846881.7773438,128876.619978153,,
212,3,DE ATACAMA,32,CHAÑARAL,3201,CHAÑARAL,CHAÑARAL,CAPITAL PROVINCIAL,CIUDAD,11073,5641,5432,4250,5467760.64648438,20337.9510915419,,
213,3,DE ATACAMA,32,CHAÑARAL,3202,DIEGO DE ALMAGRO,EL SALVADOR,URBANO,CIUDAD,6032,3321,2711,3014,4979979.078125,11065.8899251069,,
214,3,DE ATACAMA,32,CHAÑARAL,3202,DIEGO DE ALMAGRO,DIEGO DE ALMAGRO,CAPITAL COMUNAL,CIUDAD,7223,3776,3447,3202,3606902.33007813,11111.924418684,,
215,3,DE ATACAMA,31,COPIAPÓ,3102,CALDERA,CALDERA,CAPITAL COMUNAL,CIUDAD,15547,7860,7687,7265,11521552.8085938,24879.4246875084,,
216,3,DE ATACAMA,31,COPIAPÓ,3101,COPIAPÓ,COPIAPÓ,CAPITAL REGIONAL,CIUDAD,150804,74866,75938,53625,43687527.9863281,55902.9892671274,,
217,3,DE ATACAMA,33,HUASCO,3304,HUASCO,HUASCO,CAPITAL COMUNAL,CIUDAD,7071,3618,3453,3025,4762818.68554688,11895.8062553545,,
218,3,DE ATACAMA,33,HUASCO,3301,VALLENAR,VALLENAR,CAPITAL PROVINCIAL,CIUDAD,45298,21933,23365,15901,16416590.1523438,20168.3641414218,,
219,3,DE ATACAMA,31,COPIAPÓ,3103,TIERRA AMARILLA,TIERRA AMARILLA,CAPITAL COMUNAL,CIUDAD,9857,5015,4842,3230,5004317.99414063,20793.289223884,,
220,12,DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,124,ÚLTIMA ESPERANZA,12401,NATALES,PUERTO NATALES,CAPITAL PROVINCIAL,CIUDAD,19023,9431,9592,7973,16786846.046875,19330.0671799736,,
221,12,DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,123,TIERRA DEL FUEGO,12301,PORVENIR,PORVENIR,CAPITAL PROVINCIAL,CIUDAD,5992,3334,2658,2439,11397531.9882813,22187.8628901054,,
222,12,DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,122,ANTÁRTICA CHILENA,12201,CABO DE HORNOS,PUERTO WILLIAMS,CAPITAL PROVINCIAL,CIUDAD,1868,1039,829,662,2973458.40234375,9302.18433979792,,
223,12,DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12101,PUNTA ARENAS,PUNTA ARENAS,CAPITAL REGIONAL,CIUDAD,123403,60631,62772,46443,104279806.632813,72762.744552896,,
224,1,DE TARAPACÁ,14,TAMARUGAL,1401,POZO ALMONTE,POZO ALMONTE,CAPITAL PROVINCIAL,CIUDAD,9277,4632,4645,3326,6279398.54492188,13437.5241829193,,
225,1,DE TARAPACÁ,11,IQUIQUE,1107,ALTO HOSPICIO,ALTO HOSPICIO,CAPITAL COMUNAL,CIUDAD,105065,51602,53463,32824,28814202.6777344,30040.9692223494,,
226,1,DE TARAPACÁ,11,IQUIQUE,1101,IQUIQUE,IQUIQUE,CAPITAL REGIONAL,CIUDAD,188003,92813,95190,65264,23919408.2890625,47188.4380933295,,
227,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,ARICA,CAPITAL REGIONAL,CIUDAD,202131,97886,104245,65888,48641858.0478516,61207.2094327794,,
228,15,DE ARICA Y PARINACOTA,152,PARINACOTA,15201,PUTRE,PUTRE,CAPITAL PROVINCIAL,CIUDAD,1716,1323,393,521,894925.974609375,5656.52048860452,,
229,2,DE ANTOFAGASTA,21,ANTOFAGASTA,2101,ANTOFAGASTA,ANTOFAGASTA,CAPITAL REGIONAL,CIUDAD,348517,171381,177136,110563,67156131.6347656,124105.798937726,,
230,2,DE ANTOFAGASTA,21,ANTOFAGASTA,2104,TALTAL,TALTAL,CAPITAL COMUNAL,CIUDAD,10933,5592,5341,3842,4281156.41210938,13591.7871054885,,
231,2,DE ANTOFAGASTA,22,EL LOA,2201,CALAMA,CALAMA,CAPITAL PROVINCIAL,CIUDAD,157575,79804,77771,52846,40476297.6289063,35624.800159402,,
232,2,DE ANTOFAGASTA,22,EL LOA,2203,SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,CAPITAL COMUNAL,CIUDAD,5347,2593,2754,1954,2740562.11328125,11481.0656889571,,
233,2,DE ANTOFAGASTA,21,ANTOFAGASTA,2102,MEJILLONES,MEJILLONES,CAPITAL COMUNAL,CIUDAD,12784,7561,5223,3609,5739970.56835938,14434.8649145859,,
234,2,DE ANTOFAGASTA,23,TOCOPILLA,2301,TOCOPILLA,TOCOPILLA,CAPITAL PROVINCIAL,CIUDAD,24521,12036,12485,9129,9302636.65039063,33030.4058585169,,
235,16,DE ÑUBLE,161,DIGUILLÍN,16107,QUILLÓN,QUILLÓN,CAPITAL COMUNAL,CIUDAD,10279,4918,5361,5410,16334725.2070313,26988.1130912415,,
236,16,DE ÑUBLE,161,DIGUILLÍN,16102,BULNES,BULNES,CAPITAL PROVINCIAL,CIUDAD,11072,5185,5887,4210,7864734.84765625,13856.6610945446,,
237,16,DE ÑUBLE,162,ITATA,16201,QUIRIHUE,QUIRIHUE,CAPITAL PROVINCIAL,CIUDAD,9432,4496,4936,4075,5177027.1328125,15070.7869733807,,
238,16,DE ÑUBLE,162,ITATA,16203,COELEMU,COELEMU,CAPITAL COMUNAL,CIUDAD,10297,4942,5355,3581,7063130.453125,20094.7237918684,,
239,16,DE ÑUBLE,163,PUNILLA,16302,COIHUECO,COIHUECO,CAPITAL COMUNAL,CIUDAD,9089,4315,4774,3161,6045048.48828125,15686.783740326,,
240,16,DE ÑUBLE,163,PUNILLA,16301,SAN CARLOS,SAN CARLOS,CAPITAL PROVINCIAL,CIUDAD,32529,15093,17436,12508,14669384.3085938,23601.2899948213,,
241,16,DE ÑUBLE,161,DIGUILLÍN,16109,YUNGAY,YUNGAY,CAPITAL COMUNAL,CIUDAD,10884,5314,5570,4619,12075697.0351563,29164.4354780815,,
242,16,DE ÑUBLE,161,DIGUILLÍN,16101,CHILLÁN,CHILLÁN,CAPITAL REGIONAL,CIUDAD,164270,77214,87056,59751,59771638.4023438,45157.8712439654,,
243,16,DE ÑUBLE,161,DIGUILLÍN,16103,CHILLÁN VIEJO,CHILLÁN VIEJO,CAPITAL COMUNAL,CIUDAD,27359,12766,14593,9696,14143249.7265625,22164.6504505246,,
244,8,DEL BIOBÍO,83,BIOBÍO,8312,TUCAPEL,HUÉPIL,URBANO,CIUDAD,7780,3681,4099,3301,6740933.97265625,14000.8936059596,,
245,8,DEL BIOBÍO,82,ARAUCO,8202,ARAUCO,LARAQUETE,URBANO,CIUDAD,5014,2418,2596,1666,2880318.37890625,13746.0963643971,,
246,8,DEL BIOBÍO,82,ARAUCO,8202,ARAUCO,ARAUCO,CAPITAL COMUNAL,CIUDAD,17597,8519,9078,6253,9750764.6640625,27703.4599973278,,
247,8,DEL BIOBÍO,82,ARAUCO,8201,LEBU,LEBU,CAPITAL PROVINCIAL,CIUDAD,20961,10146,10815,7273,8546640.78515625,20657.0171576178,,
248,8,DEL BIOBÍO,82,ARAUCO,8203,CAÑETE,CAÑETE,CAPITAL COMUNAL,CIUDAD,19398,9032,10366,7098,8728156.0078125,19226.8276797013,,
249,8,DEL BIOBÍO,81,CONCEPCIÓN,8105,HUALQUI,HUALQUI,CAPITAL COMUNAL,CIUDAD,19643,9395,10248,6412,12282407.4140625,22277.712355393,,
250,8,DEL BIOBÍO,81,CONCEPCIÓN,8103,CHIGUAYANTE,CHIGUAYANTE,CAPITAL COMUNAL,CIUDAD,85633,40350,45283,28828,28789727.109375,41398.7967582112,,
251,8,DEL BIOBÍO,81,CONCEPCIÓN,8101,CONCEPCIÓN,CONCEPCIÓN,CAPITAL REGIONAL,CIUDAD,217537,104456,113081,83701,66571243.7109375,54736.0357914738,,
252,8,DEL BIOBÍO,81,CONCEPCIÓN,8112,HUALPÉN,HUALPÉN,CAPITAL COMUNAL,CIUDAD,90704,42946,47758,30389,25914001.796875,25061.0820815678,,
253,8,DEL BIOBÍO,81,CONCEPCIÓN,8102,CORONEL,CORONEL,CAPITAL COMUNAL,CIUDAD,112057,53665,58392,39410,64507086.8203125,51268.3069949322,,
254,8,DEL BIOBÍO,81,CONCEPCIÓN,8108,SAN PEDRO DE LA PAZ,SAN PEDRO DE LA PAZ,CAPITAL COMUNAL,CIUDAD,131521,62811,68710,47405,62736004.5039063,55342.6422431535,,
255,8,DEL BIOBÍO,82,ARAUCO,8206,LOS ÁLAMOS,LOS ÁLAMOS,CAPITAL COMUNAL,CIUDAD,15244,7294,7950,5536,11791901.5078125,38821.7292510565,,
256,8,DEL BIOBÍO,82,ARAUCO,8205,CURANILAHUE,CURANILAHUE,CAPITAL COMUNAL,CIUDAD,30139,14652,15487,10286,9655727.44140625,24744.9412161666,,
257,8,DEL BIOBÍO,83,BIOBÍO,8304,LAJA,LA LAJA,CAPITAL COMUNAL,CIUDAD,16089,7580,8509,5964,10830706.953125,20354.0989627811,,
258,8,DEL BIOBÍO,83,BIOBÍO,8310,SAN ROSENDO,SAN ROSENDO,CAPITAL COMUNAL,CIUDAD,2858,1363,1495,1103,3282476.77734375,9062.51461344366,,
259,8,DEL BIOBÍO,81,CONCEPCIÓN,8106,LOTA,LOTA,CAPITAL COMUNAL,CIUDAD,43272,20808,22464,15323,15218863.171875,30324.4842347818,,
260,8,DEL BIOBÍO,81,CONCEPCIÓN,8109,SANTA JUANA,SANTA JUANA,CAPITAL COMUNAL,CIUDAD,9549,4494,5055,3569,8922616.640625,12828.5295409672,,
261,8,DEL BIOBÍO,83,BIOBÍO,8301,LOS ÁNGELES,LOS ÁNGELES,CAPITAL PROVINCIAL,CIUDAD,143023,67985,75038,52196,47662866.3632813,43836.0358195667,,
262,8,DEL BIOBÍO,83,BIOBÍO,8306,NACIMIENTO,NACIMIENTO,CAPITAL COMUNAL,CIUDAD,22857,11017,11840,8137,14656958.9023438,21154.5944208671,,
263,8,DEL BIOBÍO,83,BIOBÍO,8305,MULCHÉN,MULCHÉN,CAPITAL COMUNAL,CIUDAD,24113,11625,12488,8254,9546360.74609375,13741.0177952276,,
264,8,DEL BIOBÍO,81,CONCEPCIÓN,8107,PENCO,PENCO,CAPITAL COMUNAL,CIUDAD,46718,22261,24457,15531,21554202.625,45133.9611720462,,
265,8,DEL BIOBÍO,81,CONCEPCIÓN,8110,TALCAHUANO,TALCAHUANO,CAPITAL COMUNAL,CIUDAD,147831,70641,77190,49716,73839235.7695313,77442.0475312654,,
266,8,DEL BIOBÍO,83,BIOBÍO,8311,SANTA BÁRBARA,SANTA BÁRBARA,CAPITAL COMUNAL,CIUDAD,7943,3686,4257,2939,4224548.67578125,11323.122587434,,
267,8,DEL BIOBÍO,81,CONCEPCIÓN,8111,TOMÉ,TOMÉ,CAPITAL COMUNAL,CIUDAD,42312,19613,22699,16129,19278126.3828125,40024.248101778,,
268,8,DEL BIOBÍO,83,BIOBÍO,8303,CABRERO,CABRERO,CAPITAL COMUNAL,CIUDAD,14978,7305,7673,5376,5109577.4609375,13765.2063058751,,
269,8,DEL BIOBÍO,83,BIOBÍO,8303,CABRERO,MONTE ÁGUILA,URBANO,CIUDAD,6574,3166,3408,2447,4745003.8203125,12077.6459997737,,
270,8,DEL BIOBÍO,83,BIOBÍO,8313,YUMBEL,YUMBEL,CAPITAL COMUNAL,CIUDAD,9751,4665,5086,3688,6592631.546875,14452.4938580696,,
